,Restaurant,City,Area,Address,Food type,Price,Avg ratings,Total ratings,longitude,latitude
1323,Taruveda Bistro,Jaipur,Civil Lines,"1st Floor, Sunraj Villa, 2 Mysore House, Jacob Road, Civil Lines, Jaipur","Cafe, Italian, Japanese, Continental",500.0,4.2,633,75.7890337,26.91137752
1324,The Forresta Kitchen & Bar,Jaipur,"Devraj Niwas, Bani Park","Devraj Niwas, Near Moti Mahal Cinema, Khasa Kothi Crossing, Gopalbari, Jaipur","Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",900.0,4.0,916,75.7936039,26.9214108
1325,Monarch Restaurant - Holiday Inn Jaipur City Centre,Jaipur,"Holiday Inn Jaipur City Centre, Bais Godam","Holiday Inn Jaipur City Centre, Commercial Plot 1, Sardar Patel Road, Bais Godam, Jaipur","North Indian, Chinese, Continental, Rajasthani",1150.0,4.5,420,75.7930067,26.9029402
1326,Chao Chinese Bistro - Holiday Inn Jaipur City Centre,Jaipur,"Holiday Inn Jaipur City Centre, Bais Godam","Holiday Inn Jaipur City Centre, Commercial Plot 1, Sardar Patel Road, Bais Godam, Jaipur","Chinese, Asian",1250.0,4.3,308,75.7929342,26.9029076
1327,Zolocrust - Hotel Clarks Amer,Jaipur,"Hotel Clarks Amer, Malviya Nagar","Hotel Clarks Amer, Jawaharlal Nehru Marg, Near Malviya Nagar, Malviya Nagar, Jaipur","Italian, Bakery, Continental",1000.0,4.9,322,75.8023,26.84615556
1328,Mutual's,Jaipur,Lal Kothi,"1, Awadhpuri, Near Kailash Mall, Lal Kothi, Jaipur Lal Kothi","Cafe, Mexican, Italian, North Indian, Fast Food",325.0,4.2,198,75.80068856,26.8884204
1329,O2- The Plant Cafe,Jaipur,Lal Kothi,"C 29, 4th Floor, Pankaj Singhvi Marg, Lal Kothi, Jaipur",Continental,350.0,4.1,148,75.80208298,26.89119117
1330,Cafe LazyMojo,Jaipur,Malviya Nagar,"H 1, Lal Bahadur Nagar, S.L Marg, Malviya Nagar, Jaipur","Cafe, Mexican, Italian, Continental",400.0,4.3,798,75.80051154,26.84959558
1331,Replay,Jaipur,Tonk Road,"SB 57, 5th Floor, Ridhi Tower, Opposite SMS Stadium, Tonk Road, Jaipur","North Indian, Continental, Chinese, Italian, Mexican",750.0,4.3,1121,75.80689587,26.8923125
1332,Sky Beach,Jaipur,Vaishali Nagar,"328-329, Above Watch Factory, Queens Road, Vaishali Nagar, Jaipur","North Indian, Continental, Chinese, Mexican, Italian, Desserts",500.0,2.6,46,75.75289118,26.91398711
1333,Decked Up By Garden Cafe,Jaipur,Vaishali Nagar,"320, Queens Road, Opposite Jharkhand Mahadev Temple, Vaishali Nagar, Jaipur","Cafe, Fast Food, North Indian",600.0,3.9,310,75.7528205,26.9137256
1334,Calzone- Dine & Rooftop Lounge,Jaipur,Vidhyadhar Nagar,"Natani Tower, R-6-B, 3rd Floor, Sector 1, Vidhyadhar Nagar, Jaipur","Continental, Mexican, North Indian, Chinese",400.0,3.7,112,75.776649,26.9564308
1335,Hucka,Kanpur,Arya Nagar,"3rd Floor, SGM Plaza, Arya Nagar, Kanpur","Chinese, Fast Food",275.0,3.3,148,80.32070833,26.48367222
1336,The Zaffran,Kanpur,Ashok Nagar,"Ratan Zone, Coca-Cola Crossing, Ashok Nagar, Kanpur","North Indian, Continental, Asian",400.0,3.3,51,80.31356357,26.47161686
1337,Gyan Vaishnav,Kanpur,Ashok Nagar,"Gumti 5,Kaushal Puri, Ashok Nagar, Kanpur",North Indian,200.0,3.9,97,80.31634444,26.46900278
1338,Liquid,Kanpur,Ashok Nagar,"The Terrace, Ratan Zone, Coca-Cola Crossing, Ashok Nagar, Kanpur","Finger Food, North Indian, Continental, Italian, Mediterranean",500.0,4.0,24,80.31345762,26.47152862
1339,Royal Dine - Hotel Royal Cliff,Kanpur,Hotel Royal Cliff,"Hotel Royal Cliff, 113 / 72, Near Motijheel Garden, Swaroop Nagar, Kanpur","North Indian, Chinese",750.0,4.0,54,80.31504167,26.47910833
1340,Dunkin Donuts,Kanpur,Mall Road,"Third Floor, Plot 1 & 1A, Z Square Mall, Mall Road, Kanpur","Desserts, Fast Food",250.0,4.1,87,80.352677,26.473698
1341,Little Chef,Kanpur,Mall Road,"15/198- A, Near Civil Court, Civil Lines, Near, Mall Road, Kanpur","North Indian, Fast Food",500.0,4.1,158,80.351569,26.47775
1342,Chin Mi,Kanpur,"Rave 3, Tilak Nagar","Rave 3, Plot 11, Block 6 Parwati Bagla Road, Tilak Nagar, Kanpur",Chinese,750.0,3.9,86,80.32779722,26.49210556
